"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007541.19",184.310885165308,0.619623352798237,0.780327609305287,0.794055401102465,0.427163179732896,0.737337112180734
"ENSG00000007545.17",177.423965581592,0.071330699561284,0.322902927628941,0.220904468364724,0.82516681811551,0.921310255023168
"ENSG00000007866.23",76.5098896602858,0.571170283188945,0.755979977469802,0.755536257852492,0.449927285646535,0.747457518484291
"ENSG00000007923.19",425.751251940798,-0.132709602465774,0.18108630215848,-0.732852793855338,0.463648217458401,0.755074410693344
"ENSG00000007933.15",6.13068247990386,0.95163894000833,0.751397212202657,1.26649250829489,0.205336809917293,NA
"ENSG00000007944.17",36.3606787671823,0.419065210714903,0.966017177502554,0.433807203923964,0.66442844988482,0.846116503915512
"ENSG00000007968.9",43.8628057735609,0.192161328952019,0.975595102801982,0.196968320566716,0.843852328640067,0.930054288353226
"ENSG00000008018.11",2870.25857152691,0.0924571813215245,0.152641812870953,0.605713333604665,0.544705128374286,0.792902341717711
"ENSG00000008083.16",72.1240251028236,0.0930646641813299,0.322542223910351,0.288534825155781,0.772937376823676,0.897766226667018
"ENSG00000008086.14",38.7746359672309,1.15714982062523,0.776057847014809,1.49106129791269,0.135945402168145,0.521117354944693
"ENSG00000008128.25",206.874294348106,0.408777461196432,1.20022569712617,0.340583827004549,0.733416906460465,0.879119596569134
"ENSG00000008130.17",428.465977063641,-0.0747156599537597,0.168567987124384,-0.443237540106759,0.657593928350449,0.842839537102789
"ENSG00000008226.22",1.55094011905353,0.677082538316463,1.42774343260425,0.474232640721339,0.635334019567525,NA
"ENSG00000008256.19",136.304805237251,0.245664199888014,0.193074162794516,1.27238257223194,0.203237223146125,0.591221282708256
"ENSG00000008277.17",21.7260128850895,0.666029124812925,0.85245828856809,0.781304063488762,0.434623680750694,0.740422489552536
"ENSG00000008282.12",920.74475573077,-1.69553979509261,0.666393618749598,-2.54435178757274,0.0109480762327102,0.216375364914193
"ENSG00000008283.18",465.397140527892,0.395952383553642,0.399432875701442,0.991286415416637,0.32154574438345,0.679569315768868
"ENSG00000008294.24",380.218378258698,-0.0904348305951419,0.566746426625954,-0.159568417808178,0.873221059086509,0.944080435933761
"ENSG00000008300.17",10.3949094597049,-1.28254825445197,1.22604769220236,-1.04608349463806,0.295522484961566,0.666087253037907
"ENSG00000008311.18",104.312832729736,-0.490734958996575,0.403143726815544,-1.21727048284471,0.223501320943705,0.608522531742063
"ENSG00000008323.18",6.38087711432173,0.432346247477663,0.988625900159386,0.437320373063218,0.661879022337997,NA
"ENSG00000008324.14",296.128779413884,0.0717671456338913,0.405039301259042,0.177185634605845,0.859362579058299,0.938030038458939
"ENSG00000008382.18",70.6201534483348,0.280659127244818,0.285580072020225,0.982768598871078,0.32572133976084,0.681274049823766
"ENSG00000008394.15",10987.6287595063,-1.31206328315509,0.503998939374375,-2.60330564342811,0.00923296010547366,0.207225602367263
